LYN;LFLY;Lyon–Bron Airport;45.7294444444, 4.93888888889
VDH;;Dong Hoi Airport;17.515, 106.590555556
SOU;EGHI;Southampton Airport;50.9502777778, -1.35666666667
JER;EGJJ;Jersey Airport;49.2080555556, -2.19527777778
PIK;EGPK;Glasgow Prestwick Airport;55.5094444444, -4.59444444444
CWL;EGFF;Cardiff Airport;51.3966666667, -3.34333333333
GCI;EGJB;Guernsey Airport;49.435, -2.60194444444
DSA;EGCN;Robin Hood Airport Doncaster Sheffield;53.4752777778, -1.00416666667
EXT;EGTE;Exeter International Airport;50.7344444444, -3.41388888889
IOM;EGNS;Isle of Man Airport;54.0833333333, -4.62388888889
AMS;EHAM;Amsterdam Airport Schiphol;52.3081, 4.76417
ADL;YPAD;Adelaide Airport;-34.945, 138.530555556
;YPPF;Parafield Airport;-34.7933333333, 138.633055556
CED;YCDU;Ceduna Airport;-32.1305555556, 133.709722222
CVC;YCEE;Cleve Airport;-33.71, 136.505
CPD;YCBP;Coober Pedy Airport;-29.04, 134.721666667
;YCWL;Cowell Airport;-33.6667, 136.892
;YIMB;Kimba Airport;-33.0997, 136.46
KGC;YKSC;Kingscote Airport;-35.7138888889, 137.521666667
LGH;YLEC;Leigh Creek Airport;-30.9983, 138.427
;YLOX;Loxton Airport;-34.475, 140.663
MGB;YMTG;Mount Gambier Airport;-37.7455555556, 140.785277778
NAC;YNRC;Naracoorte Airport;-36.985, 140.718
PUG;YPAG;Port Augusta Airport;-32.5069444444, 137.716666667
PLO;YPLC;Port Lincoln Airport;-34.6052777778, 135.880277778
PPI;YPIR;Port Pirie Airport;-33.2388888889, 137.995
RMK;YREN;Renmark Airport;-34.1966666667, 140.673333333
KBY;YKBY;Streaky Bay Airport;-32.8358333333, 134.292777778
;YWKI;Waikerie Airport;-34.1833, 140.03
WYA;YWHA;Whyalla Airport;-33.0588888889, 137.514444444
WUD;YWUD;Wudinna Airport;-33.0433, 135.447
DPO;YDPO;Devonport Airport;-41.1697222222, 146.430277778
FLS;YFLI;Flinders Island Airport;-40.0913888889, 147.992777778
;YCBG;Cambridge Aerodrome;-42.8266666667, 147.475
KNS;YKII;King Island Airport;-39.8775, 143.878333333
LST;YMLT;Launceston Airport;-41.545, 147.215
HLS;YSTH;St Helens Airport;-41.3366666667, 148.281666667
SIO;YSMI;Smithton Airport;-40.835, 145.083333333
SRN;YSRN;Strahan Airport;-42.1555555556, 145.291388889
BWT;YWYY;Burnie Airport;-40.9988888889, 145.731111111
BBO;HCMI;Berbera Airport;10.3891666667, 44.9411055556
BUO;HCMV;Burao Airport;9.51666666667, 45.5666666667
ERA;HCMU;Erigavo Airport;10.64222222, 47.38805556
RUN;FMEE;Roland Garros Airport;-20.89, 55.5163888889
ZSE;FMEP;Pierrefonds Airport;-21.3216666667, 55.4255555556
ABX;YMAY;Albury Airport;-36.0683333333, 146.958333333
ARM;YARM;Armidale Airport;-30.5283333333, 151.616666667
BNK;YBNA;Ballina Byron Gateway Airport;-28.8333333333, 153.561666667
BZD;YBRN;Balranald Airport;-34.6233333333, 143.578333333
BWU;YSBK;Bankstown Airport;-33.925, 150.988333333
BRK;YBKE;Bourke Airport;-30.0383333333, 145.951666667
